,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
greek_pelike_iron_age_-500BCE_57,-0.8922430306577328,2.9578991613248364,-1.149312821676306,-2.3268263364856443,0.38212723822413197,0.3690060169270868,-0.07711008069924048,0.035214345356605725,0.05284058373947596,0.07157245224347852,0.11496971636130815,0.140401241301827,-0.134175680428123,-0.22569537378683519,0.16471457944276896,0.531775093156566,-0.30877763456408264,0.02878474038708609,0.3705437314938811,0.031064637423505535
greek_pelike_iron_age_-400BCE_137,-3.0480131122275482,-2.2123159070059275,0.6185121397942007,-2.2405910485291427,0.3931894997227239,-0.18291627282778922,1.3220054563871468,-0.14575060038576967,-0.03959488019910992,-0.7667529643776007,0.8470876359049418,0.6148276095558397,0.17134279902756241,0.9167544064566253,-0.04706085712092975,0.12422580679450679,0.09288200493323512,0.03342381817750767,0.09292986364217959,-0.2895754093605535
greek_pelike_iron_age_-300BCE_293,-2.0375891351353523,-1.3289758401560134,-2.752456814622626,0.45161967270063536,-0.73268615456118,-0.20245866577879013,-0.13776256711702278,-0.3959859539558083,-0.4605014453894609,0.04306147420363604,-0.450591656539799,0.6312876892428925,0.9266550922402936,0.27251832502849865,0.40838279629270097,0.15301763353089146,-0.41460781414908826,-0.023136107447868898,-0.24432970209170307,0.16307738288900525
greek_pelike_iron_age_-450BCE_37,-3.0141449738693793,0.9671520026123388,0.9935988300554465,0.18039512749290854,0.286501225857881,-0.6296225157345843,-0.8505107253552623,0.6778611143096438,0.4136046292844432,-0.7142896602378688,-0.4348549916576396,-0.3814876914157471,-0.649630152869429,-0.0828007995313148,0.5779021766263805,-0.03422670881849621,-0.3913442505304927,0.44325659640841397,-0.06987290958802589,-0.1939940137285015
greek_pelike_iron_age_-450BCE_32,-1.2919066729968867,-0.6949002502999598,-0.8976409795101918,-2.2171806493509667,-0.15337372021381573,0.2867953078157367,-0.18370238404656697,-0.2561985779921913,-0.05112915681571351,0.1991665894580511,-0.07791499507108732,0.28694889272581114,-0.09232479655925566,0.025501601315210037,0.2002353773833892,-0.11533543933320689,0.3185904290009106,0.430340428573009,-0.15540613794175653,0.17524203672057703
greek_pelike_iron_age_-350BCE_74,-2.946021217094651,-1.6518185146940263,-0.39815627928085995,1.1559668036970752,-0.24764641409232907,-1.7618983207030694,-1.0754546967354552,0.451348288866233,0.6807858367478008,0.1839485522584679,0.23186750417564364,0.08743329368348707,-0.40227777151744537,0.37903870850144905,-0.3064018851080167,0.14765021090544234,-0.16481018774031342,-0.2640026984857015,-0.20456527548174677,-0.09648101310697588
greek_italiote_pelike_hellenistic_age_-350BCE_114,-2.9798103774274636,-1.9604044002675383,-1.3514917663471087,1.0248078269011334,0.6821429628325788,0.576221424729426,-0.33358893660314015,0.1348451561592786,-0.23825118891875524,-0.029149396956219986,-0.29580406022161215,-0.999845632945132,0.5787526145004476,-0.09847297387576254,0.18808852567154768,-0.21673215704360252,0.25064851509913616,0.1871240322620731,0.07082192488155004,-0.16721843767883574
greek_italiote_pelike_iron_age_-350BCE_202,0.41224724135593815,2.9588651832061377,-0.8105832407603248,-3.196163122339225,0.3230718241762592,-0.3207986841072117,-0.11632376334972572,-0.7006606335281969,0.22621343217288167,-0.27432433446733334,0.2707710467314846,-0.42399173742797375,0.03941776696904784,-0.1590941686644209,-0.08349000381464514,0.09921429739105489,0.16125730910209102,0.007291521592926398,-0.37904021451038716,0.1642213290905754
greek_italiote_pelike_iron_age_-350BCE_209,-0.5827574076067443,-1.5207238890047357,1.1517472471992019,-2.0615190058702844,-1.0772040859697052,1.487204928519965,-0.29394745427197355,-0.5478184459910789,-0.6642629341540365,-0.23540344246598724,-0.573473564726168,-0.7642545272969459,-0.22441338584603757,0.25348369739080173,-0.1777995317484726,0.08657637398096324,-0.1111689241101464,-0.48237823755811815,0.1852739614968874,0.07357320655130943
greek_italiote_pelike_iron_age_-400BCE_44,-1.7041698240531813,1.7409700348665784,-2.7684290528436075,0.41362850100944143,0.7360386478275542,0.8719748053380881,-0.46758988095854304,0.4858835111471538,0.2622828028255078,-0.15151614118097545,-0.05674881719443017,-0.00221025625737975,0.2052390614676543,-0.2579048761566526,-0.32883157405892866,0.17416420293611468,0.046984203160291615,-0.3039712308801225,0.06362591405921231,-0.07077789576877684
