,greek_pelike_iron_age_-500BCE_57,greek_pelike_iron_age_-400BCE_137,greek_pelike_iron_age_-300BCE_293,greek_pelike_iron_age_-450BCE_37,greek_pelike_iron_age_-450BCE_32,greek_pelike_iron_age_-350BCE_74,greek_italiote_pelike_hellenistic_age_-350BCE_114,greek_italiote_pelike_iron_age_-350BCE_202,greek_italiote_pelike_iron_age_-350BCE_209,greek_italiote_pelike_iron_age_-400BCE_44,greek_italiote_pelike_hellenistic_age_-300BCE_258,greek_italiote_pelike_iron_age_-350BCE_204,greek_loutrophoros_iron_age_-450BCE_158,greek_loutrophoros_hellenistic_age_-150BCE_295,greek_loutrophoros_iron_age_-600BCE_288,greek_loutrophoros_iron_age_-500BCE_213,greek_loutrophoros_iron_age_-450BCE_164,greek_loutrophoros_iron_age_-500BCE_211,greek_italiote_loutrophoros_iron_age_-400BCE_246,greek_italiote_loutrophoros_iron_age_-350BCE_291,greek_italiote_loutrophoros_iron_age_-400BCE_247,greek_italiote_loutrophoros_iron_age_-400BCE_244,greek_italiote_loutrophoros_iron_age_-400BCE_245,greek_italiote_loutrophoros_iron_age_-400BCE_243,greek_amphora_iron_age_-550BCE_4,greek_amphora_iron_age_-350BCE_143,greek_amphora_iron_age_-450BCE_26,greek_amphora_iron_age_-350BCE_142,greek_amphora_iron_age_-350BCE_146,greek_amphora_iron_age_-550BCE_6,greek_italiote_amphora_iron_age_-400BCE_81,greek_italiote_amphora_iron_age_-400BCE_86,greek_italiote_amphora_iron_age_-400BCE_88,greek_italiote_amphora_iron_age_-400BCE_90,greek_italiote_amphora_hellenistic_age_-300BCE_221,greek_italiote_amphora_iron_age_-450BCE_265,greek_amphora_iron_age_-1000BCE_155,greek_amphora_iron_age_-1050BCE_277,greek_amphora_iron_age_-1000BCE_152
greek_pelike_iron_age_-500BCE_57,0.0,0.4517743429796216,0.3533782078669565,0.3008172741279035,0.27774077913073647,0.4126925762508371,0.3973317486678349,0.19430653756221608,0.3545390327011627,0.23269189048437747,0.3625407576267864,0.31616753688909793,0.47791418397320834,0.46546476001500137,0.37323109795172055,0.4375813854982164,0.3718125227257984,0.38328521138671634,0.493295548054418,0.4347309362801042,0.35967644866401816,0.39692887125293086,0.37635711890496076,0.409637642201423,0.310808500150963,0.36960082851457887,0.2982597466422334,0.3631226057039391,0.341650236271626,0.33929399511427677,0.3504420715472142,0.3782396539177617,0.30694697088037887,0.32320371450232854,0.3381074584684148,0.2770028733310175,0.2577496867064738,0.2521687924747788,0.31624407395857235
greek_pelike_iron_age_-400BCE_137,0.4517743429796216,0.0,0.36731160201104157,0.2893881367643637,0.24707549811182594,0.2590020745846845,0.27721729762461805,0.4566587696671964,0.2839249013877559,0.3989819744259468,0.2789444912450236,0.25394392120582737,0.3979819832555575,0.6020577758201193,0.42134312605765284,0.4096689182244281,0.5376167634811813,0.4868952594243328,0.4705348982317808,0.33692598105289073,0.5379824852226079,0.38169727087858374,0.3680228694347514,0.40971710357658453,0.40063540875612846,0.32958469888920505,0.4084611732184222,0.3381894417682069,0.39010675394345945,0.37717554215513055,0.4144626050294578,0.4001013148750886,0.38934173348327694,0.463199049327999,0.43031654872907543,0.4187652161378532,0.3894937662813253,0.4566533289244682,0.3249838758480796
greek_pelike_iron_age_-300BCE_293,0.3533782078669565,0.36731160201104157,0.0,0.3319198799632155,0.271822185813414,0.24139768338439868,0.23100332147855746,0.4334166783224763,0.35784765059714774,0.24809749632155056,0.3087903348172374,0.36732407717329285,0.37814047954738134,0.4934147777041856,0.2736607354055727,0.3379520824139228,0.4234517920500574,0.3209951208638963,0.3714924440009124,0.42484098159151323,0.5042770918509274,0.4243810861682403,0.35036047689026456,0.4162178527923327,0.3849714939998808,0.4018559842459197,0.334261028874028,0.3152660939360358,0.37032433731545317,0.3411240884708216,0.33408343667042123,0.3869488566938689,0.3627381666089887,0.4886234848429296,0.34502724300189214,0.37782815712998014,0.2598154960826372,0.37798992455583513,0.21986080553577253
greek_pelike_iron_age_-450BCE_37,0.3008172741279035,0.2893881367643637,0.3319198799632155,0.0,0.28326917874580076,0.2481545135039322,0.28187234360530256,0.37861537210548873,0.34274182703613687,0.2971560358919312,0.369729619336532,0.263352160437827,0.43162152860728875,0.5410882493422994,0.3750102871117233,0.44078879520457886,0.48779265474388567,0.43953478989212114,0.5093475954957237,0.3510554958656149,0.43357432351736847,0.3357239930536778,0.3034928536233637,0.38889666320245264,0.23025567424091478,0.2996405358587208,0.2703488086720633,0.26390369535701264,0.27991238027827076,0.24676070021795077,0.2647950206094478,0.33177623330046196,0.2837544070610468,0.4203484721967826,0.3528328178861849,0.28220250911400124,0.25361241149268776,0.28322513084776163,0.2171605132754712
greek_pelike_iron_age_-450BCE_32,0.27774077913073647,0.24707549811182594,0.271822185813414,0.28326917874580076,0.0,0.3122093154103853,0.2831367734797009,0.3194054106513711,0.24356031508013234,0.2962444895022018,0.24095004403782747,0.2159054582844201,0.3496840879268469,0.45840431750589206,0.2657952744730772,0.30947627493154634,0.3863766183812496,0.32747093110558745,0.4098125268350306,0.3081141020277054,0.42814467084770913,0.33814211474033556,0.29949287053390394,0.31758599007172617,0.35742627929763515,0.29697599357104587,0.30029218208474345,0.2997110613666065,0.299211871342097,0.29958423124060934,0.36204175178566034,0.319255988466932,0.30154273553308286,0.4030073618905444,0.2776934759230109,0.29935909264714833,0.24170448164953867,0.394222216750251,0.2773017331908876
greek_pelike_iron_age_-350BCE_74,0.4126925762508371,0.2590020745846845,0.24139768338439868,0.2481545135039322,0.3122093154103853,0.0,0.19747329024457963,0.46580043678851063,0.3538539018531183,0.31875490841054793,0.27570565341712955,0.2768713700339674,0.3833216844307051,0.5503182766402673,0.3309865442824275,0.33241417546793584,0.4931529184410754,0.3876911356424879,0.41809294990689816,0.34663629886123365,0.5010812871667909,0.3656811464089375,0.29903168535772684,0.37225184887352025,0.3455182817909528,0.34972694093038537,0.3320819424061259,0.2781979641905759,0.3415557224842858,0.30449473755651885,0.3321079256530219,0.35272373341872754,0.3371806718179962,0.5142971716022764,0.35484377379433807,0.36084930614454863,0.30633477158253763,0.3904201713478837,0.20888180747655816
greek_italiote_pelike_hellenistic_age_-350BCE_114,0.3973317486678349,0.27721729762461805,0.23100332147855746,0.28187234360530256,0.2831367734797009,0.19747329024457963,0.0,0.4651090976304334,0.32416493829842974,0.2884367876295192,0.2703589935921023,0.31206080103820577,0.37654784670928376,0.5461492579656996,0.31955167180102906,0.3570794621888901,0.478823604230443,0.38554384249311263,0.36162656331124954,0.3281370351684309,0.4879196525606851,0.343907605588564,0.30286241324355095,0.36222478885148557,0.3733373033849767,0.36329243563785946,0.3386557368993576,0.27825017607114494,0.3546500118749748,0.3255163918649791,0.3575333572746976,0.40570274680710555,0.3773108552886788,0.5198430634427702,0.3733383593194288,0.3760737343412044,0.2852939700763597,0.39471315229321335,0.2025427139292985
greek_italiote_pelike_iron_age_-350BCE_202,0.19430653756221608,0.4566587696671964,0.4334166783224763,0.37861537210548873,0.3194054106513711,0.46580043678851063,0.4651090976304334,0.0,0.33624874616123807,0.31414952086640274,0.3837475407546333,0.3137394470177042,0.46962608850850657,0.4030724805449239,0.4094409956362306,0.43116832309883607,0.32549939416369206,0.3920135112928875,0.48459489815946094,0.4274451450586618,0.3380322376692405,0.40948063518429406,0.391371362833885,0.3926077608038322,0.35789877623075583,0.3610404729303786,0.32435417763343655,0.40165337782584715,0.34898359671548274,0.3665919283881819,0.3783496879745456,0.34931356389563706,0.3158814817806633,0.2737727346915531,0.31089789452331085,0.2910346083190315,0.2894414366778362,0.35939810784514836,0.3878277869160697
greek_italiote_pelike_iron_age_-350BCE_209,0.3545390327011627,0.2839249013877559,0.35784765059714774,0.34274182703613687,0.24356031508013234,0.3538539018531183,0.32416493829842974,0.33624874616123807,0.0,0.39923042235348816,0.25604346523475613,0.239275483731873,0.2929629715215305,0.46671598059071706,0.343075148595859,0.3012842113579327,0.3813476250517889,0.33935127119678804,0.4483396619241209,0.2815910377234596,0.48917196102063926,0.3469092933187337,0.2799596359504477,0.31360260237797605,0.3469292885130428,0.22441499348064298,0.31858476242223144,0.25601416438695807,0.25525793357715454,0.29332612595427493,0.36324775413453053,0.2888499179842086,0.2751293391498474,0.3353763436256538,0.28782673575089673,0.3115910401162966,0.27498494300355075,0.4744945637308785,0.3542591783766895
greek_italiote_pelike_iron_age_-400BCE_44,0.23269189048437747,0.3989819744259468,0.24809749632155056,0.2971560358919312,0.2962444895022018,0.31875490841054793,0.2884367876295192,0.31414952086640274,0.39923042235348816,0.0,0.3997473369257272,0.3880538829152779,0.4602076377479609,0.44681166265539796,0.28469927823704916,0.3941774509392195,0.38877887532893857,0.34977639247719666,0.4004100664066462,0.419570648253566,0.39867767592109554,0.3887622843363606,0.3731412155713222,0.42918214673841254,0.3220715047491819,0.4050751750064307,0.2990025230856438,0.34644585960906193,0.36773628268293995,0.3330647852472313,0.30487832977018947,0.4056287107705499,0.3384320281566763,0.4108796329395539,0.33504585338376464,0.3410174773921189,0.22713863797169614,0.23878334694592745,0.2251789074669711
