,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
greek_pelike_iron_age_-500BCE_57,-0.8922430306577329,2.957899161324837,-1.1493128216763058,-2.3268263364856443,0.38212723822413214,0.3690060169270868,-0.07711008069924055,0.0352143453566057,0.05284058373947606,0.07157245224347841,0.11496971636130837,0.14040124130182724,-0.13417568042812292,-0.22569537378683507,0.16471457944276907,0.531775093156566,-0.30877763456408264,0.02878474038708599,0.37054373149388115,0.031064637423505598,0.281953132504053,-0.0791435000737483,0.33992997467377095,0.34064773751982974,-0.05455819719698232,0.1335232462931276,0.045336205343839794,0.22253049512489448,0.08666333959544159,-0.0007015529339942095,0.06720027442388543,-0.011078154290479765,0.06335918053703156,-0.05079691891926498,-0.09845119041027894,0.09448148896773158,0.15035600284335332,-0.022214385599635324
greek_pelike_iron_age_-400BCE_137,-3.0480131122275482,-2.2123159070059284,0.6185121397942009,-2.2405910485291427,0.39318949972272393,-0.18291627282778933,1.3220054563871468,-0.14575060038576965,-0.03959488019910984,-0.7667529643776007,0.8470876359049421,0.6148276095558398,0.17134279902756272,0.9167544064566251,-0.04706085712092964,0.12422580679450687,0.09288200493323537,0.03342381817750767,0.09292986364217953,-0.2895754093605537,-0.08873980280231283,-0.21646533413451016,-0.029684235507140035,-0.08274789628480086,-0.038991856835286026,0.07613710686365985,0.15132675269705256,-0.14648885830899605,-0.021730963640818918,0.01689535228003236,0.1071802912478031,0.04592183244347876,-0.0632045622930382,-0.0035427577504890534,-0.04760075547736417,-0.011745936027873771,0.00935354346099869,0.030772102369140145
greek_pelike_iron_age_-300BCE_293,-2.0375891351353523,-1.3289758401560134,-2.752456814622626,0.45161967270063547,-0.7326861545611798,-0.20245866577879013,-0.13776256711702273,-0.3959859539558084,-0.460501445389461,0.043061474203635715,-0.45059165653979893,0.631287689242893,0.9266550922402935,0.27251832502849876,0.408382796292701,0.15301763353089154,-0.4146078141490883,-0.023136107447868946,-0.24432970209170315,0.16307738288900517,0.024736093401352285,-0.02594295258405116,-0.11313313470295572,0.08699398482025947,-0.05670140157018415,-0.12458347466988072,-0.1541669091754021,-0.056919278896164154,-0.08879434737653863,0.0539304340996729,0.0035096895115226748,-0.19734822307644745,0.16040846778201018,-0.013566103243939948,0.0680977168425156,-0.010964952727512974,-0.02448540667251533,-0.12565450994856114
greek_pelike_iron_age_-450BCE_37,-3.014144973869379,0.9671520026123388,0.9935988300554466,0.18039512749290848,0.28650122585788096,-0.629622515734584,-0.8505107253552622,0.6778611143096439,0.4136046292844433,-0.7142896602378688,-0.4348549916576394,-0.38148769141574684,-0.6496301528694294,-0.08280079953131492,0.5779021766263809,-0.03422670881849624,-0.3913442505304928,0.4432565964084138,-0.06987290958802599,-0.1939940137285015,-0.23511467400021677,-0.16996505576289989,-0.002424739152875808,0.08694880667342332,0.1983729871168182,-9.618638272938101e-05,0.14570339758223672,-0.11474450484574328,0.08129919298572841,-0.07410484744483348,-0.04152797155424587,-0.015050684520248596,0.06073056569369864,0.03943332502056319,0.0008674977211835175,-0.12610545582887472,-0.06826146725543121,-0.07645240186774196
greek_pelike_iron_age_-450BCE_32,-1.291906672996887,-0.6949002502999599,-0.897640979510192,-2.2171806493509663,-0.15337372021381573,0.2867953078157367,-0.18370238404656705,-0.25619857799219137,-0.05112915681571353,0.19916658945805105,-0.07791499507108735,0.28694889272581103,-0.09232479655925582,0.025501601315210138,0.20023537738338926,-0.11533543933320678,0.3185904290009107,0.4303404285730089,-0.15540613794175653,0.17524203672057698,0.32496761483329095,0.46209166450430905,-0.14552288517457324,-0.11582405076240046,0.0023971902200052575,-0.13674404251920008,0.011983511537309685,0.13071076726253356,0.2932401625306909,0.13961784485134507,-0.1289515818791488,0.07192806718742531,-0.0793060793704531,0.10292840832680207,-0.0889175858097905,-0.16779229626522632,0.0025457883757578695,0.019870990802350608
greek_pelike_iron_age_-350BCE_74,-2.9460212170946507,-1.6518185146940267,-0.39815627928086017,1.1559668036970754,-0.247646414092329,-1.7618983207030694,-1.0754546967354552,0.451348288866233,0.6807858367478009,0.1839485522584679,0.23186750417564364,0.0874332936834872,-0.40227777151744537,0.3790387085014493,-0.30640188510801647,0.14765021090544234,-0.16481018774031336,-0.2640026984857017,-0.20456527548174686,-0.09648101310697589,0.021466246701101824,0.3757133225115378,0.1838359418139859,-0.02474128837061701,-0.35195916760510365,0.019110231488933274,-0.040807116915760416,0.047969492815596246,0.03451093686815758,-0.05196127381992814,-0.08365707960403408,0.013121429995826491,-0.020098345064069184,0.04505271449878745,0.07302136487853435,0.10681321530617928,0.02812541638747855,0.06751342384943056
greek_italiote_pelike_hellenistic_age_-350BCE_114,-2.9798103774274645,-1.9604044002675378,-1.3514917663471084,1.0248078269011331,0.6821429628325788,0.5762214247294255,-0.33358893660314015,0.13484515615927847,-0.23825118891875519,-0.02914939695622016,-0.2958040602216121,-0.9998456329451321,0.5787526145004475,-0.09847297387576243,0.18808852567154766,-0.21673215704360224,0.2506485150991361,0.18712403226207328,0.07082192488155005,-0.1672184376788357,0.09153483414876128,-0.09432472814912918,-0.016383904591809013,0.051620344443179145,0.014763696929452758,-0.034101240711655184,0.05466109835027838,0.06037984252733952,0.10948285872293011,0.017611882189434276,0.2580724655193817,-0.024607613863684763,-0.1091324405275375,-0.01193575700919327,0.1947247286642037,0.06794844366661382,0.10496845055103216,0.15852211692314278
greek_italiote_pelike_iron_age_-350BCE_202,0.41224724135593804,2.9588651832061372,-0.8105832407603245,-3.1961631223392253,0.32307182417625935,-0.32079868410721163,-0.11632376334972555,-0.7006606335281969,0.2262134321728817,-0.2743243344673334,0.27077104673148467,-0.42399173742797347,0.03941776696904778,-0.15909416866442078,-0.08349000381464512,0.09921429739105525,0.16125730910209102,0.007291521592926439,-0.3790402145103873,0.16422132909057546,0.09686181278720699,0.04971840561635894,0.23695459052348886,-0.18080056286401008,0.10760496624891305,-0.13167916381011638,-0.1436572930535224,-0.12094815906604973,-0.15765928585308756,-0.26332749912120756,0.07344382019494695,-0.018655256512252152,-0.1208263132771834,-0.0013569024764967762,0.1755159640414654,0.027243590897213735,-0.09565510509093403,-0.046315244434862166
greek_italiote_pelike_iron_age_-350BCE_209,-0.5827574076067443,-1.5207238890047359,1.1517472471992023,-2.0615190058702835,-1.0772040859697052,1.487204928519965,-0.29394745427197355,-0.5478184459910788,-0.6642629341540365,-0.23540344246598713,-0.5734735647261681,-0.7642545272969459,-0.2244133858460377,0.25348369739080173,-0.17779953174847263,0.08657637398096327,-0.11116892411014613,-0.48237823755811826,0.18527396149688735,0.07357320655130954,-0.34464713563340704,0.2779783249098779,-0.17161573463710647,0.2022179432438628,-0.155856219627516,-0.01944473266058622,0.04198996786506695,-0.08992716179786762,0.09429825735426614,-0.12032805813939272,-0.06690819703618144,-0.018607799814914575,0.030293991591034318,0.025058396255042296,-0.04349243842529731,0.03633184853866282,-0.04989126825756469,-0.016392303579804694
greek_italiote_pelike_iron_age_-400BCE_44,-1.704169824053181,1.7409700348665786,-2.768429052843609,0.4136285010094414,0.7360386478275542,0.8719748053380882,-0.46758988095854304,0.4858835111471538,0.2622828028255078,-0.15151614118097542,-0.05674881719443009,-0.002210256257379667,0.2052390614676544,-0.2579048761566526,-0.3288315740589287,0.17416420293611495,0.046984203160291615,-0.30397123088012235,0.06362591405921236,-0.07077789576877683,0.20615620812851676,-0.07136433169054743,-0.233008992097005,-0.04084294898843576,0.05184902502424988,0.23930960031649945,0.1339333971005716,-0.11173445470220165,-0.32177813212889805,-0.0359659613245292,-0.19295718656295124,0.020714545499639116,-0.015558728192243493,0.17582197990147092,-0.05148692198602994,-0.13912759032494054,0.0048412901489520085,0.09742644761065959
